artist,title
Mica Paris,I Wanna Hold On To You
Jomanda,I Like It
H-Town,Lick U Up
Kris Kross Featuring Supercat,Alright
Lords Of The Underground,Chief Rocka
Joe,I'm In Luv
Ice Cube Featuring Das EFX,Check Yo Self
After 7,Truly Something Special
Scarface,Let Me Roll
Babyface,For The Cool In You
Mariah Carey,Dreamlover
Zhane,Hey Mr. D.J.
Maze Featuring Frankie Beverly,Laid Back Girl
Jazzy Jeff & The Fresh Prince,Boom! Shake The Room
MC Eiht,"Streiht Up Menace (From ""Menace II Society"")"
Bell Biv DeVoe,Something In Your Eyes
Zapp & Roger,Mega Medley
ME-2-U,Want U Back
"Earth, Wind & Fire",Sunday Morning
Raven-Symone,That's What Little Girls Are Made Of
Luther Vandross,Heaven Knows
Johnny Gill,I Got You
Intro,Come Inside
Alexander O'Neal,Aphrodisia
Sade,Cherish The Day
Guru With N'Dea Davenport,Trust Me
De La Soul,Breakadawn
Prince,Pink Cashmere
Xscape,Just Kickin' It
Tony Toni Tone,Anniversary
Teddy Pendergrass,Voodoo
P.O.V. (Duet With Jade),All Thru The Night
Dr. Dre,Let Me Ride
Coming Of Age,Coming Home To Love
Tevin Campbell,Can We Talk
Salt-N-Pepa,Shoop
Vesta,Always
Wu-Tang Clan,Method Man
Angie And Debbie,Light Of Love
Levert,Do The Thangs
Toni Braxton,Breathe Again
En Vogue Featuring FMOB,Runaway Love
DRS,Gangsta Lean
Hi-Five,"Never Should've Let You Go (From ""Sister Act 2"")"
RAab,Foreplay
Keith Washington,Stay In My Corner
Aaron Hall,Get A Little Freaky With Me
Babyface,Never Keeping Secrets
Janet Jackson,Again
Too $hort,I'm A Player
R. Kelly,Sex Me (Parts I & II)
Jade,Looking For Mr. Do Right
Shaquille O'Neal,(I Know I Got) Skillz
Silk,It Had To Be You
Mariah Carey,Hero
2Pac,Keep Ya Head Up
A Tribe Called Quest,Award Tour
II D Extreme,Up On The Roof
U.N.V.,Straight From My Heart
Color Me Badd,Time And Chance
Zapp & Roger,Slow And Easy
Das EFX,Freakit
Luther Vandross,Never Let Me Go
Jody Watley,Your Love Keeps Working On Me
Mint Condition,Nobody Does It Betta
Maze Featuring Frankie Beverly,The Morning After
Freddie Jackson,Make Love Easy
Eazy-E,Real Muthaphuckkin G's
7669,So High
Domino,Getto Jam
Jodeci,Cry For You
Queen Latifah,U.N.I.T.Y.
Kris Kross,I'm Real
K7,Come Baby Come
Ralph Tresvant,Who's The Mack
H-Town,Keepin' My Composure
Johnny Gill,Long Way From Home
Snoop Dogg,What's My Name?
Brian McKnight,After The Love
Ice Cube,Really Doe
Boyz II Men,Let It Snow
Mary J. Blige,You Don't Have To Worry
SWV,Always On My Mind
Joe,The One For Me
Chantay Savage,Betcha'll Never Find
Xscape,Understanding
Mint Condition,U Send Me Swingin'
Shabba Ranks Featuring Patra And Terri & Monica,"Family Affair (From ""Addams Family Values"")"
Chris Walker,Love Tonight
CeCe Peniston,I'm In The Mood
Tony Toni Tone,(Lay Your Head On My) Pillow
Zhane,Groove Thang
Eric Gable,Process Of Elimination
Johnny Gill,Quiet Time To Play
Jody Watley,When A Man Loves A Woman
Salt-N-Pepa Featuring En Vogue,Whatta Man
"Earth, Wind & Fire",Spend The Night
Janet Jackson,Because Of Love
Keith Washington,Believe That
12 Gauge,Dunkie Butt (Please Please Please)
Eternal,Stay
R. Kelly,Bump N' Grind
All-4-One,So Much In Love
US3,Cantaloop (Flip Fantasia)
Aaron Hall,Let's Make Love
M.C. Hammer,It's All Good
Snoop Doggy Dogg,Gin And Juice
Blackgirl,Krazy
Mariah Carey,Never Forget You/Without You
Lisa Lisa,Skip To My Lu
Teddy Pendergrass,Believe In Love
Intro,Ribbon In The Sky
Ice Cube,You Know How We Do It
MeShell Ndegeocello,If That's Your Boyfriend (He Wasn't Last Night)
Aretha Franklin,"A Deeper Love (From ""Sister Act 2"")"
Shaquille O'Neal,I'm Outstanding
OutKast,Player's Ball
Babyface,And Our Feelings
Prince,The Most Beautiful Girl In The World
Angela Winbush,Treat U Rite
Jodeci,Feenin'
